"Stkcd","Ddate","BPS"
"000046","2009-12-31","3.998091"
"000046","2010-12-31","3.663246"
"000046","2011-12-31","1.859964"
"000046","2012-12-31","1.967583"
"000046","2013-12-31","2.118699"
"000046","2014-12-31","2.747148"
"000046","2015-12-31","3.328100"
"000046","2016-12-31","4.791793"
"000046","2017-12-31","5.292536"
"000046","2018-12-31","5.472305"
"000048","2014-12-31","1.547388"
"000048","2015-12-31","2.053250"
"000048","2016-12-31","2.113937"
"000048","2017-12-31","1.813727"
"000048","2021-12-31","4.890968"
"000048","2022-12-31","5.088332"
"000049","2010-12-31","2.033707"
"000049","2011-12-31","3.123554"
"000049","2012-12-31","3.392621"
"000049","2013-12-31","4.767784"
"000049","2014-12-31","4.475082"
"000049","2015-12-31","5.836004"
"000049","2016-12-31","7.308896"
"000049","2017-12-31","8.844219"
"000049","2018-12-31","11.033923"
"000049","2019-12-31","13.809281"
"000049","2020-12-31","13.621442"
"000049","2021-12-31","11.419756"
"000049","2022-12-31","14.110119"
"000050","2002-12-31","4.927920"
"000050","2003-12-31","5.312163"
"000050","2004-12-31","2.837071"
"000050","2005-12-31","2.968821"
"000050","2006-12-31","2.614068"
"000050","2007-12-31","5.946790"
"000050","2008-12-31","3.476984"
"000050","2009-12-31","3.654732"
"000050","2010-12-31","4.337369"
"000050","2011-12-31","5.083106"
"000050","2012-12-31","5.322035"
"000050","2013-12-31","5.721891"
"000050","2014-12-31","7.564571"
"000050","2015-12-31","9.455675"
"000050","2016-12-31","9.820121"
"000050","2017-12-31","10.331033"
"000050","2018-12-31","12.696860"
"000050","2019-12-31","13.039853"
"000050","2020-12-31","13.658171"
"000050","2021-12-31","14.188852"
"000050","2022-12-31","12.313050"
"000055","2009-12-31","1.673930"
"000055","2010-12-31","2.168676"
"000055","2011-12-31","1.522053"
"000055","2014-12-31","1.718216"
"000055","2015-12-31","1.762486"
"000055","2016-12-31","2.917664"
"000055","2017-12-31","2.736417"
"000055","2018-12-31","4.496123"
"000055","2019-12-31","4.656648"
